time=2025-08-15T12:26:28.367Z level=INFO msg="Watcharr Starting"
time=2025-08-15T12:26:28.374Z level=INFO msg="Config file doesn't exist... generating."
time=2025-08-15T12:26:28.387Z level=INFO msg="Logging level set" logging_level=INFO
time=2025-08-15T12:26:30.937Z level=INFO msg="No users found.. creating setup routes."
time=2025-08-15T12:26:30.937Z level=ERROR msg="IGDB init client id and or secret not provided"
time=2025-08-15T12:26:30.937Z level=ERROR msg="GameRoutes: Twitch init failed!" error="client id and or secret not provided"
time=2025-08-15T12:26:30.938Z level=INFO msg="SetupTasks: Jobs created and scheduler started."
[GIN] 2025/08/15 - 12:27:53 | 200 |  134.493223ms |      172.19.0.1 | GET      "/api/content/search/multi?q=The%2520blacklist&page=1"
[GIN] 2025/08/15 - 12:27:54 | 200 |     322.804µs |      172.19.0.1 | GET      "/api/content/search/multi?q=The%2520blacklist&page=1"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.132783ms |      172.19.0.1 | GET      "/_app/immutable/nodes/21.BuVllE01.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.019175ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BmU6BepJ.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.060577ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CailKj_L.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.169385ms |      172.19.0.1 | GET      "/_app/immutable/assets/AddToTagButton.DbrutDbZ.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.178987ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BE2kW4n9.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.178786ms |      172.19.0.1 | GET      "/_app/immutable/assets/Status.BT2qYBmE.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.043677ms |      172.19.0.1 | GET      "/_app/immutable/assets/ArrRequestButton.BQBeDS4q.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.019974ms |      172.19.0.1 | GET      "/_app/immutable/assets/DropDown.Dl8B6xWv.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.181486ms |      172.19.0.1 | GET      "/_app/immutable/assets/Checkbox.Cn1xoGsl.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.013974ms |      172.19.0.1 | GET      "/_app/immutable/assets/RequestShow.dM4wBrkv.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.122382ms |      172.19.0.1 | GET      "/_app/immutable/assets/21.Q6pZLwLk.css"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.141984ms |      172.19.0.1 | GET      "/_app/immutable/chunks/vQjrPQkH.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |    1.814533ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DQH4ZsHY.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |     968.371µs |      172.19.0.1 | GET      "/_app/immutable/chunks/BiEIBra1.js"
[GIN] 2025/08/15 - 12:27:56 | 200 |     776.257µs |      172.19.0.1 | GET      "/_app/immutable/chunks/BMgxnWAi.js"
time=2025-08-15T12:27:56.822Z level=INFO msg="Saving content to db" id=46952 title="The Blacklist"
[GIN] 2025/08/15 - 12:27:56 | 200 |  235.642323ms |      172.19.0.1 | GET      "/api/content/tv/46952?region=US"
time=2025-08-15T12:27:56.863Z level=INFO msg=getFollowsThoughts
[GIN] 2025/08/15 - 12:27:56 | 200 |    6.185452ms |      172.19.0.1 | GET      "/api/follow/thoughts/tv/46952"
[GIN] 2025/08/15 - 12:27:57 | 200 |   172.79883ms |      172.19.0.1 | GET      "/api/content/tv/46952/credits"
[GIN] 2025/08/15 - 12:27:57 | 200 |  279.727244ms |      172.19.0.1 | GET      "/api/content/tv/46952/season/1"
time=2025-08-15T12:28:42.817Z level=INFO msg="Saving content to db" id=46952 title="The Blacklist"
time=2025-08-15T12:28:43.012Z level=WARN msg="download: Failed to create out file, trying to recover by ensuring directories exist." outf=data/img/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg
time=2025-08-15T12:28:43.016Z level=INFO msg="download: recovered by creating dir(s)." outf=data/img/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg
[GIN] 2025/08/15 - 12:28:43 | 200 |  585.271211ms |      172.19.0.1 | POST     "/api/watched"
